Image,Method,Model,Category,Label,Precision,Recall
model,body,mature,mature,1.0,1.0
model,tail,mature,mature,0.8333333333333334,0.8333333333333334
model,back,mature,mature,0.0,0.0
model,head,mature,mature,0.3333333333333333,0.3333333333333333
model,arm,mature,mature,0.45454545454545453,0.4166666666666667
model,claw,mature,mature,0.8333333333333334,0.45454545454545453
graph,body,mature,mature,1.0,1.0
graph,back,mature,mature,0.5,0.5
graph,head,mature,mature,0.3333333333333333,0.3333333333333333
graph,arm,mature,mature,0.5,0.4166666666666667
graph,claw,mature,mature,0.8333333333333334,0.45454545454545453
model,body,mature,juvenile,0.9,0.9
model,back,mature,juvenile,0.0,0.0
model,head,mature,juvenile,0.6,0.6
model,arm,mature,juvenile,0.5,0.55
model,claw,mature,juvenile,0.5,0.26666666666666666
graph,body,mature,juvenile,0.9090909090909091,1.0
graph,back,mature,juvenile,0.0,0.0
graph,head,mature,juvenile,0.7,0.7
graph,arm,mature,juvenile,0.43478260869565216,0.5
graph,claw,mature,juvenile,0.5,0.26666666666666666
model,tail,mature,juvenile,1.0,1.0
model,body,juvenile,mature,1.0,1.0
model,tail,juvenile,mature,0.75,0.75
model,head,juvenile,mature,0.16666666666666666,0.16666666666666666
model,arm,juvenile,mature,0.7,0.5833333333333334
model,claw,juvenile,mature,0.2,0.1111111111111111
graph,head,juvenile,mature,0.16666666666666666,0.16666666666666666
graph,back,juvenile,mature,0.0,0.0
graph,tail,juvenile,mature,0.0,0.0
graph,body,juvenile,mature,1.0,1.0
model,body,juvenile,juvenile,1.0,1.0
model,tail,juvenile,juvenile,0.8888888888888888,0.8888888888888888
model,back,juvenile,juvenile,0.75,0.75
model,head,juvenile,juvenile,0.9,0.9
model,arm,juvenile,juvenile,0.9230769230769231,0.6
model,claw,juvenile,juvenile,0.8,0.4444444444444444
graph,tail,juvenile,juvenile,1.0,1.0
graph,body,juvenile,juvenile,1.0,1.0
graph,back,juvenile,juvenile,0.7142857142857143,1.0
graph,head,juvenile,juvenile,0.9,0.9
graph,arm,juvenile,juvenile,1.0,0.65
graph,claw,juvenile,juvenile,0.9,0.5
graph,claw,juvenile,mature,0.6666666666666666,0.4
graph,arm,juvenile,mature,0.75,0.6
